Feature,Coefficient,AbsCoefficient
CUSR0000SA0L5_YOY_lag1,0.6401183484899502,0.6401183484899502
ACOGNO_YOY_lag1,0.3260030722648827,0.3260030722648827
TOTRESNS_YOY_lag1,-0.2280404940360847,0.2280404940360847
CUSR0000SAD_YOY_lag1,0.2255503610711654,0.2255503610711654
AMDMUOx_YOY_lag1,0.1801759833145717,0.1801759833145717
S&P PE ratio_MOM_lag1,0.15470407624462565,0.15470407624462565
HWIURATIO_lag1,0.15411959404873232,0.15411959404873232
OILPRICEx_YOY_lag1,0.15135403805068842,0.15135403805068842
USCONS_YOY_lag1,-0.12495030841565948,0.12495030841565948
CPIMEDSL_YOY_lag1,0.12458299117693596,0.12458299117693596
WPSFD49207_YOY_lag1,0.1177033422806801,0.1177033422806801
TOTRESNS_MOM_lag1,-0.11531960578702755,0.11531960578702755
IPNMAT_YOY_lag1,-0.10822913637765738,0.10822913637765738
S&P 500_MOM_lag1,-0.10770121442478242,0.10770121442478242
CES1021000001_lag1,-0.10575252219913156,0.10575252219913156
UEMP27OV_YOY_lag1,-0.10229735647122537,0.10229735647122537
WPSID61_YOY_lag1,-0.10136248944139556,0.10136248944139556
USTRADE_lag1,-0.09990944260544277,0.09990944260544277
CES3000000008_YOY_lag1,0.08362957015534853,0.08362957015534853
RPI_YOY_lag1,0.0766478269352535,0.0766478269352535
CUSR0000SAS_YOY_lag1,0.07546217826839824,0.07546217826839824
GS10_lag1,-0.07162279629223751,0.07162279629223751
S&P PE ratio_YOY_lag1,0.0677852267545245,0.0677852267545245
IPB51222S_lag1,0.06717763478296145,0.06717763478296145
EXUSUKx_lag1,-0.061909276519106105,0.061909276519106105
DTCTHFNM_YOY_lag1,0.06165103750947281,0.06165103750947281
WPSID61_MOM_lag1,-0.061001948061230216,0.061001948061230216
COMPAPFFx_lag1,0.058370505995074956,0.058370505995074956
ANDENOx_lag1,0.05785586410409163,0.05785586410409163
CES0600000007_lag1,-0.05769838143129778,0.05769838143129778
CLAIMSx_lag1,-0.05498372307864653,0.05498372307864653
IPDCONGD_YOY_lag1,-0.0547008339456842,0.0547008339456842
IPDCONGD_lag1,-0.05439638274449661,0.05439638274449661
OILPRICEx_MOM_lag1,0.05382589437051854,0.05382589437051854
HOUSTNE_lag1,0.04673467714310506,0.04673467714310506
REALLN_MOM_lag1,0.04535356532654339,0.04535356532654339
BOGMBASE_MOM_lag1,0.04507672484072238,0.04507672484072238
DTCOLNVHFNM_YOY_lag1,-0.04447597915467219,0.04447597915467219
NDMANEMP_YOY_lag1,0.044289846406806825,0.044289846406806825
TWEXAFEGSMTHx_YOY_lag1,-0.044126127273171674,0.044126127273171674
ANDENOx_MOM_lag1,-0.04288860873644622,0.04288860873644622
CPIAPPSL_YOY_lag1,0.04283047664719028,0.04283047664719028
DSERRG3M086SBEA_MOM_lag1,-0.041449323811393136,0.041449323811393136
