sasdate,CPIAUCSL_MOM,TOTRESNS_MOM,OILPRICEx_MOM,DDURRG3M086SBEA_YOY,DPCERA3M086SBEA_YOY,OILPRICEx_YOY,S&P PE ratio_MOM,AMDMUOx_YOY,ACOGNO_MOM,CES3000000008_YOY,CES0600000007,W875RX1_MOM,IPB51222S,TWEXAFEGSMTHx_MOM,IPNMAT_MOM,RPI_YOY,BUSINVx_MOM,WPSFD49207_MOM,ANDENOx_MOM,CLAIMSx_MOM,WPSID62_MOM,PERMITNE,CUSR0000SAD_YOY,CPITRNSL_MOM,UEMP15T26_MOM,EXSZUSx_MOM
1959-01-01,,,,,,,,,,,39.8,,19.9173,,,,,,,,,,,,,
1959-02-01,-0.03447087211306985,-1.5873015873015723,0.0,,,,-0.14974903678782733,,,,39.7,0.36273701566365135,19.8631,,1.7510787284213525,,0.3442735873664483,0.30211480362538196,,-2.7896302709239444,-0.6329113924050722,,,0.34129692832763775,-8.24915824915825,0.025509020917399493
1959-03-01,-0.10344827586207289,-1.0752688172043163,-0.9999999999999934,,,,3.1557644353002194,,,,40.0,0.735173320190555,19.9986,,1.502019360215394,,0.5146386103538095,0.0,,-7.991291993864815,0.31847133757962237,,,0.680272108843547,-2.7522935779816518,0.22024899728746122
1959-04-01,0.03451846738005372,1.6304347826086998,0.0,,,,1.4401648934598201,,,,40.2,0.7053451298568999,20.0799,,3.0972696784624767,,1.342587329793574,0.0,,-5.351724243890822,0.6349206349206327,,,0.3378378378378306,-23.0188679245283,-0.004626630887377021
1959-05-01,0.20703933747411568,-0.5347593582887586,0.0,,,,1.1475218411121508,,,,40.3,0.6639676113360361,20.3779,,0.898387007847492,,0.5725833563588156,0.30120481927709125,,0.21873845941569642,-0.6309148264984206,,,0.0,-4.411764705882353,0.0046268449544147935
1959-06-01,0.24104683195592386,-0.5376344086021582,0.0,,,,-2.00793792079531,,,,40.2,0.3016409266409266,20.4863,,-0.29993290974386433,,1.004688548538465,-0.30030030030028326,,4.5782176293368755,-0.6349206349206327,,,0.3367003367003415,6.41025641025641,-0.2614046451374181
1959-07-01,0.13740982480247046,1.0810810810810774,0.0,,,,2.336878216302365,,,,39.9,-0.07618589358033966,20.7573,,0.47408950152091056,,0.7736516309332557,-0.3012048192771127,,1.932176350781002,-0.9584664536741236,,,0.3355704697986506,-5.0602409638554215,-0.04406818972515396
1959-08-01,0.10291595197255965,-0.5347593582887586,0.0,,,,-1.8447727057792036,,,,40.0,-0.5738362760834743,20.8928,,-0.36851164933207514,,0.1645097687479385,-0.30211480362538196,,9.076992037926214,-0.9677419354838732,,,0.0,3.2994923857868024,0.11137924633377483
1959-09-01,0.23989033584647115,0.0,0.0,,,,-5.538333554267158,,,,40.0,0.0,21.3264,,0.13170702031878,,-0.4270228908646873,1.2121212121212077,,-4.595619604169351,0.6514657980456003,,,0.33444816053512183,10.319410319410318,0.2480066753198575
1959-10-01,0.3418803418803467,0.0,0.0,,,,-1.7544472908566886,,,,39.6,0.11704403277233286,21.3806,,-1.8657747886498095,,0.3188915747413597,-0.8982035928143627,,14.007088962463543,-0.647249190938509,,,0.3333333333333381,-2.89532293986637,0.3167556819495514
1959-11-01,0.0,0.0,0.0,,,,-0.8445239762238768,,,,39.6,0.6691929371926111,21.5161,,0.16932310997333813,,-0.09865175048726026,-0.30211480362538196,,12.309209494139004,-0.6514657980456003,,,0.0,15.825688073394495,0.03457177099659023
1959-12-01,0.2044293015332154,2.1505376344085945,0.0,,,,1.947726041055437,,,,40.0,1.1452827166426545,21.5974,,2.482401003714486,,1.0862409410778402,0.0,,-22.520049149995867,-0.6557377049180304,,,0.0,-10.297029702970297,-0.3755500771836095
1960-01-01,-0.13600816048962647,-1.0526315789473648,0.0,0.24402915754836346,3.9570713721358906,-0.9999999999999934,-2.5227955449574915,5.252321807510506,,4.411764705882345,40.1,0.4671787156544353,21.4077,,1.5357430397037768,4.3402901422842906,0.8574839877658814,0.3030303030303073,,1.559033156591395,0.33003300330032304,246,1.0498687664041957,-0.33222591362126713,-0.6622516556291391,0.06475485661425948
1960-02-01,0.136193394620358,-3.191489361702135,0.0,0.3477357837429533,3.3363742994917267,-0.9999999999999934,-5.150746763735974,0.3472146299771234,,4.390243902439039,39.7,0.09063682219420642,21.3806,,-0.6126679416970751,4.0558745463827135,1.1192423622618348,0.0,,-1.9800150720268979,0.0,232,1.0498687664041957,0.0,-8.444444444444445,0.24960709993528005
1960-03-01,0.0,-1.098901098901095,0.0,-0.07071691234246111,3.8215738170550564,0.0,-2.0947355018748954,-4.3172669362243346,,3.381642512077309,39.5,0.09055474624984161,22.1935,,0.04392504653964705,3.5804146190846033,0.8194976546236896,0.9063444108761244,,14.193307533368078,0.9868421052631603,166,0.2610966057441291,-0.3333333333333381,25.970873786407765,-0.016137956473629308
1960-04-01,0.4420265215912921,0.5555555555555635,0.0,-0.051806964111905,5.804988662131513,0.0,0.38667854261345486,-7.6181696366030875,,2.8846153846153872,39.8,0.361891275273396,22.2206,,-0.8760244677546597,3.2654143986213238,0.010556324238598857,0.0,,-3.0290475234833725,0.32573289902280594,189,0.0,0.0,-10.404624277456648,0.04381009476815267
1960-05-01,0.10155721056195376,0.552486187845292,0.0,-0.2288257789480296,2.4324670336704584,0.0,-1.1200106550899542,-8.358027030575208,,2.8846153846153872,39.6,0.2430038410284478,21.9496,,0.15638418079097066,2.9158215777683694,0.6016466122393492,0.0,,5.927219077120274,0.0,224,-0.5208333333333223,-0.33444816053510995,-12.258064516129032,-0.32958421683415745
1960-06-01,0.13527223537368666,0.5494505494505573,0.0,-0.6976271292487182,2.0345685311563177,0.0,3.4878637625792663,-9.462531531193019,,2.3923444976076684,39.5,-0.023459493274941706,22.0851,,0.0878475544083103,2.678923405817253,0.22033364996360733,0.0,,1.3950293217705876,-1.2987012987013056,176,-0.7812499999999927,0.0,12.254901960784313,-0.21967857555784892
1960-07-01,-0.20263424518743237,1.092896174863384,0.0,-0.736374722491485,2.5918341226161488,0.0,-2.0062528796956216,-10.072532321182253,,2.3923444976076684,39.6,0.19163081736410212,22.3019,,-0.8290099372982233,2.922654402816734,0.39782244585591375,0.29940119760479467,,3.813617264613013,0.0,219,-1.0389610389610353,0.0,13.755458515283841,-0.03476245654693063
1960-08-01,0.20304568527918349,0.0,0.0,-0.2513154794628078,1.882951653944005,0.0,1.6811937610087309,-9.347858104990623,,3.864734299516912,39.4,-0.25371794371365003,22.3832,,-0.5255692151014794,3.3409898157775038,-0.18769552080812268,-0.2985074626865714,,8.227183053475793,-1.9736842105263088,208,-0.7812499999999927,0.0,-0.7677543186180422,-0.0649124840616803
1960-09-01,0.0,0.5405405405405482,0.0,-0.856161698524464,1.3477767980853925,0.0,-2.5284181509084322,-10.461984662709371,,3.8461538461538494,39.1,0.027392971746099167,22.5729,,-0.705680176968501,3.396663835765771,0.16715420270254064,0.0,,-2.1113572932139486,0.671140939597313,205,-1.558441558441562,-0.671140939597313,-0.19342359767891684,-0.09047254506228206
1960-10-01,0.4728132387706875,1.0752688172042972,0.0,-0.8693196083354288,2.5364616360177688,0.0,-2.1564828555989237,-13.221129275296025,,4.347826086956537,39.4,0.31297680059465594,22.6,,-0.6029863936810719,3.5702826230663343,-0.08343763719611763,0.8982035928143841,,5.999355728366037,0.6666666666666643,196,-1.558441558441562,0.0,20.73643410852713,0.034828643076067076
1960-11-01,0.1008403361344576,1.0638297872340388,0.0,-0.2994716129133453,2.2267334898179336,0.0,3.7327176379207154,-13.983893103176262,,3.864734299516912,39.0,-0.5733005733005663,22.6813,,-1.047194771435534,2.348741336170677,0.05219206572092015,0.0,,2.3115331401501926,0.0,205,-1.8181818181818257,0.0,8.025682182985554,-0.0208899101733788
1960-12-01,0.10073875083948147,1.5789473684210564,0.0,-1.0641298896690103,1.0860590663702836,0.0,2.8556887203739185,-13.891128614860996,,2.36966824644551,38.0,-0.5844512434298301,22.7626,,-0.27673693767335955,0.8478562805078539,-1.1789253990607442,-0.2967359050445146,,-2.9701138643529013,0.3311258278145743,169,-1.558441558441562,0.3378378378378306,-12.63001485884101,-0.03946696382969956
